Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/audit-log [GET],113,0,5,6.7548448495546705,3.2159219999812194,41.953283999987434,38944.929203539825,0.37713900607849776,0.0,5,6,7,9,12,15,17,17,42,42,42
GET,/api/equipment [GET],2937,1,82,108.26256380592432,13.255443999923955,582.709791999946,144989.316309159,9.802276644712814,0.0033375133281282987,82,110,130,150,220,280,370,440,580,580,580
POST,/api/equipment [POST],122,0,88,121.27471176229379,36.66360399995483,434.5949620000056,74.0,0.40717662603165244,0.0,91,130,150,170,250,290,340,350,430,430,430
POST,/api/equipment/issue [POST],591,0,99,137.28891552114638,36.63400000004913,877.1538649999684,69.33840947546531,1.9724703769238245,0.0,99,140,160,190,270,370,520,660,880,880,880
GET,/api/equipment/issues [GET],641,0,81,106.98247816848594,27.929481999990458,568.0204440000125,155204.1856474259,2.1393460433302396,0.0,81,110,140,150,210,280,330,420,570,570,570
GET,/api/events [GET],2268,0,66,92.12687024118114,19.67647600008604,562.7071300000352,4504.0,7.569480228194982,0.0,66,93,120,130,200,260,350,400,540,560,560
GET,/api/members [GET],1175,0,74,97.07007765021147,23.45093100007034,531.8065079999315,70346.74212765957,3.9215781605507507,0.0,74,100,120,140,200,250,330,370,470,530,530
GET,/api/performance-logs [GET],260,0,62,86.16008469230853,20.17173100000491,455.3905280000663,355.0,0.8677534653133576,0.0,62,93,110,130,170,240,340,350,460,460,460
POST,/api/registrations [POST],311,311,4,5.021684395500228,2.1858629999087498,27.757519000033426,60.0,1.0379666450479008,1.0379666450479008,4,4,5,6,9,12,16,17,28,28,28
GET,/api/teams [GET],1531,0,66,93.47285836577399,20.856341000012435,561.619759999985,23587.0,5.109732905364425,0.0,66,94,120,140,200,260,330,400,550,560,560
GET,/api/tournaments [GET],1395,0,80,103.97107624372792,26.036475000069004,581.9018180000057,108397.7835125448,4.6558310927389766,0.0,80,110,130,150,210,270,350,450,580,580,580
POST,/api/tournaments [POST],104,0,98,116.64544794230815,37.139885999977196,367.8503119999732,76.0,0.3471013861253431,0.0,100,130,150,160,230,270,340,350,370,370,370
GET,/auth/isAuth [GET],2802,0,3,3.774027447536373,1.2990010000066832,36.9575709999026,94.0,9.351712345415493,0.0,3,3,4,4,8,11,13,14,32,37,37
POST,/auth/login,406,306,84,184.22942334975343,19.271353000021918,834.8844750000808,65.3103448275862,1.3550304112200893,1.0212790784072594,84,100,120,340,580,680,750,790,830,830,830
,Aggregated,14656,618,59,82.9594448338559,1.2990010000066832,877.1538649999684,55293.26937772926,48.91459533704835,2.0625832367832886,59,87,110,130,190,260,350,450,730,870,880
