Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/audit-log [GET],69,0,5,5.743703318834694,3.509316000020135,12.212913999974262,38948.97101449275,0.23042342243522762,0.0,5,6,6,6,8,11,12,12,12,12,12
GET,/api/equipment [GET],1491,0,38,45.12544870690803,27.80285199997934,215.8346610000308,129929.0120724346,4.979149606535136,0.0,38,43,50,55,65,78,110,140,210,220,220
POST,/api/equipment [POST],54,0,49,55.75477209259711,35.90342199998986,126.316117999977,74.0,0.18033137407974337,0.0,49,55,61,63,90,94,100,130,130,130,130
POST,/api/equipment/issue [POST],272,0,49,58.24509756985522,35.751204999996844,346.3674799999694,69.0,0.9083358101794481,0.0,49,57,62,66,82,98,150,220,350,350,350
GET,/api/equipment/issues [GET],259,0,34,38.81845259845495,23.437903999990795,121.38299999998026,79013.62162162163,0.864922701604695,0.0,34,37,43,46,58,69,87,95,120,120,120
GET,/api/events [GET],1183,0,26,32.512217744716644,18.985683000039444,193.13335600003256,4504.0,3.950592880302526,0.0,26,30,36,40,51,61,78,99,180,190,190
GET,/api/members [GET],606,0,32,38.6826382574268,22.728769000025295,225.24068899997474,66779.3597359736,2.0237187535615644,0.0,32,38,44,47,59,71,90,100,230,230,230
GET,/api/performance-logs [GET],144,0,26,33.73358470833744,18.94727100000182,180.4986870000107,355.0,0.48088366421264894,0.0,26,31,37,40,50,71,100,140,180,180,180
POST,/api/registrations [POST],146,145,4,5.221041691782278,2.4477780000324856,74.9642000000108,60.14383561643836,0.4875626039933802,0.4842231341030146,4,5,5,5,7,11,14,15,75,75,75
GET,/api/teams [GET],694,0,28,35.69971097118043,20.77205599999843,200.46215899998288,23587.0,2.317592103913739,0.0,28,33,38,42,54,67,93,180,200,200,200
GET,/api/tournaments [GET],764,0,34,41.47450531020996,24.67939500002103,230.88636300002463,96327.40183246073,2.551354996239332,0.0,34,39,46,49,60,69,100,180,230,230,230
POST,/api/tournaments [POST],60,0,47,52.10641691666827,36.452153000027465,99.19174199990266,76.0,0.20036819342193707,0.0,47,50,58,63,82,87,97,99,99,99,99
GET,/auth/isAuth [GET],1591,0,3,3.0900690942791775,1.32506900001772,22.998136000012437,94.0,5.3130965955716976,0.0,3,3,3,4,4,6,8,10,15,23,23
POST,/auth/login,50,0,300.0,302.93139267999993,207.4034760000245,422.5468330000126,122.8,0.1669734945182809,0.0,310,340,350,360,380,390,420,420,420,420,420
,Aggregated,7383,145,30,33.016481066774844,1.32506900001772,422.5468330000126,47796.16957876202,24.655306200569356,0.4842231341030146,30,37,41,45,58,70,100,180,370,420,420
