Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/audit-log [GET],15,0,6,6.592543799994625,3.9699580000842616,14.103281000075185,38930.2,0.1258376540580229,0.0,6,6,7,9,9,14,14,14,14,14,14
GET,/api/equipment [GET],737,6,46,58.30018644504641,24.570928000002823,550.5456650000724,156344.5251017639,6.182823402717525,0.050335061623209165,46,55,64,69,86,110,140,190,550,550,550
POST,/api/equipment [POST],11,0,58,62.43969372727324,39.001615999950445,114.19296799999756,74.0,0.0922809463092168,0.0,58,64,66,66,76,110,110,110,110,110,110
POST,/api/equipment/issue [POST],154,4,58,71.79508155844411,27.880691000063962,809.8064629999726,68.72727272727273,1.291933248329035,0.033556707748806106,58,70,78,82,94,110,150,550,810,810,810
GET,/api/equipment/issues [GET],171,2,54,65.1198777134473,26.43076699996527,606.2474379999685,213365.1695906433,1.4345492562614612,0.016778353874403053,54,66,72,76,93,110,170,210,610,610,610
GET,/api/events [GET],591,3,31,44.31609907275705,19.507430999965436,591.0820139999942,4481.243654822335,4.9580035698861025,0.025167530811604583,31,42,49,55,68,93,130,180,590,590,590
GET,/api/members [GET],229,2,37,57.89805488209607,24.675857999909567,734.9124710000297,60620.366812227076,1.9211215186191497,0.016778353874403053,37,49,59,64,88,110,400,540,730,730,730
GET,/api/performance-logs [GET],81,0,33,42.30894566666517,19.68750399998953,137.94337399997403,355.0,0.6795233319133237,0.0,33,41,54,61,75,83,120,140,140,140,140
POST,/api/registrations [POST],93,93,4,5.023095408596516,2.322813999967366,27.605884999957198,59.16129032258065,0.780193455159742,0.780193455159742,4,5,5,5,7,13,23,28,28,28,28
GET,/api/teams [GET],432,3,32,44.66303470833251,15.997898999899007,587.3890039999878,23423.347222222223,3.62412443687106,0.025167530811604583,32,43,48,52,74,92,110,130,590,590,590
GET,/api/tournaments [GET],275,0,42,57.25794589455296,28.43502799998987,717.4560920000204,116926.54545454546,2.30702365773042,0.0,42,51,56,61,81,100,150,480,720,720,720
POST,/api/tournaments [POST],14,0,53,63.11122592857795,36.200328000063564,151.8987819999893,76.0,0.11744847712082138,0.0,53,67,74,78,100,150,150,150,150,150,150
GET,/auth/isAuth [GET],684,5,3,3.7210611023405487,1.3502909999942858,48.954129999970064,93.46637426900585,5.738197025045845,0.041945884686007635,3,3,3,4,5,8,14,29,49,49,49
POST,/auth/login,500,440,840.0,834.2645313180005,205.78323699999146,2027.208306000034,33.228,4.194588468600764,3.6912378523686717,840,980,1100,1200,1200,1400,1700,1900,2000,2000,2000
,Aggregated,3987,558,40,141.68295464509617,1.3502909999942858,2027.208306000034,52978.86656634061,33.44764844862249,4.681160730958452,40,53,67,80,550,930,1200,1200,1900,2000,2000
