Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/audit-log [GET],55,0,6,6.771170563495781,4.065457000251627,30.348624000907876,38760.09090909091,0.46149083219192966,0.0,6,6,7,7,11,14,14,30,30,30,30
GET,/api/equipment [GET],1145,0,56,78.42580900352723,24.90189599848236,666.9494529996882,44393.802620087336,9.607400051995626,0.0,56,74,89,100,130,180,470,550,600,670,670
POST,/api/equipment [POST],43,0,66,84.84283802309345,41.538426998158684,488.858299999265,74.0,0.36080192335005407,0.0,66,80,82,100,130,160,490,490,490,490,490
GET,/api/equipment/issues [GET],260,0,54,76.20636453852617,24.401180999120697,572.4674560005951,33214.0,2.1815930249073037,0.0,54,72,91,110,130,170,380,540,570,570,570
GET,/api/events [GET],867,2,50,75.00603167701222,4.3120790032844525,592.9834970011143,4493.658592848904,7.274773663825509,0.01678148480697926,50,69,84,94,130,190,470,550,590,590,590
GET,/api/members [GET],428,1,58,81.0244006845997,11.445860000094399,586.8151199974818,50730.20560747664,3.591237748693562,0.00839074240348963,58,75,89,98,130,210,460,530,590,590,590
GET,/api/performance-logs [GET],133,1,46,65.96804762411101,21.758021001005545,490.3160339999886,352.4887218045113,1.1159687396641207,0.00839074240348963,46,68,82,93,120,150,190,410,490,490,490
GET,/api/teams [GET],682,1,56,80.68158994127107,3.5898980022466276,596.0756450003828,17728.99706744868,5.722486319179928,0.00839074240348963,57,74,88,100,140,200,500,540,600,600,600
GET,/api/tournaments [GET],559,0,53,75.73905710014905,23.30508199884207,592.4179200010258,24671.20930232558,4.690425003550703,0.0,53,72,83,95,130,200,400,530,590,590,590
POST,/api/tournaments [POST],49,0,73,84.4062488162011,39.75226799957454,261.68456099912873,76.0,0.4111463777709919,0.0,73,84,100,110,140,180,260,260,260,260,260
GET,/auth/isAuth [GET],1054,1,3,3.0891582685915058,1.5552669974567834,29.111783998814644,93.93074003795067,8.84384249327807,0.00839074240348963,3,3,3,3,4,6,7,9,26,29,29
POST,/auth/login,102,10,590.0,555.6398360685681,30.363873000169406,984.7865909978282,112.80392156862744,0.8558557251559422,0.0839074240348963,610,710,750,780,870,920,960,980,980,980,980
,Aggregated,5377,16,44,71.33055706547165,1.5552669974567834,984.7865909978282,21062.591965780175,45.11702190356374,0.13425187845583408,44,63,78,90,130,210,530,600,920,980,980
